date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:08	24597/24597	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202019%2006:06:08%20GMT	https://www.strong.io/products/optimail	Z:/PycharmProjects/website_copy/strong/www.strong.io/products/optimail.html	(from https://www.strong.io/)
14:06:09	39675/39675	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202019%2006:06:09%20GMT	https://www.strong.io/blog	Z:/PycharmProjects/website_copy/strong/www.strong.io/blog.html	(from https://www.strong.io/)
14:06:10	22279/22279	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202019%2006:06:10%20GMT	https://www.strong.io/scholarship	Z:/PycharmProjects/website_copy/strong/www.strong.io/scholarship.html	(from https://www.strong.io/)
14:06:10	54634/54634	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202019%2006:06:09%20GMT	https://www.strong.io/blog/data-science-audit	Z:/PycharmProjects/website_copy/strong/www.strong.io/blog/data-science-audit.html	(from https://www.strong.io/)
14:06:11	27589/27589	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202019%2006:06:11%20GMT	https://www.strong.io/blog/predictive-model-roi-calculator	Z:/PycharmProjects/website_copy/strong/www.strong.io/blog/predictive-model-roi-calculator.html	(from https://www.strong.io/)
14:06:11	38499/38499	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202019%2006:06:11%20GMT	https://www.strong.io/team	Z:/PycharmProjects/website_copy/strong/www.strong.io/team.html	(from https://www.strong.io/)
14:06:12	19685/19685	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202019%2006:06:12%20GMT	https://www.strong.io/contact	Z:/PycharmProjects/website_copy/strong/www.strong.io/contact.html	(from https://www.strong.io/)
14:06:13	55209/55209	---M--	200	added ('OK')	image/png	etag:%22d7a9-55412bab5d829%22	https://www.strong.io/img/logo-mercedes-benz.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/logo-mercedes-benz.png	(from https://www.strong.io/)
14:06:13	33716/33716	---M--	200	added ('OK')	image/png	etag:%2283b4-567047f21a849%22	https://www.strong.io/img/logo-dictionary.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/logo-dictionary.png	(from https://www.strong.io/)
14:06:13	33821/33821	---M--	200	added ('OK')	image/png	etag:%22841d-54d26f6495129%22	https://www.strong.io/img/logo-stitch-fix.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/logo-stitch-fix.png	(from https://www.strong.io/)
14:06:14	64439/64439	---M--	200	added ('OK')	image/png	etag:%22fbb7-5578bfe126129%22	https://www.strong.io/img/logo-wind-creek.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/logo-wind-creek.png	(from https://www.strong.io/)
14:06:14	39659/39659	---M--	200	added ('OK')	image/png	etag:%229aeb-5541268bc6e89%22	https://www.strong.io/img/logo-micatu.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/logo-micatu.png	(from https://www.strong.io/)
14:06:15	29307/29307	---M--	200	added ('OK')	image/png	etag:%22727b-5541268bc6e89%22	https://www.strong.io/img/logo-handm.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/logo-handm.png	(from https://www.strong.io/)
14:06:15	35683/35683	---M--	200	added ('OK')	image/png	etag:%228b63-5541268bc6e89%22	https://www.strong.io/img/logo-hologram.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/logo-hologram.png	(from https://www.strong.io/)
14:06:16	30755/30755	---M--	200	added ('OK')	image/png	etag:%227823-55412bab5d829%22	https://www.strong.io/img/logo-monotype.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/logo-monotype.png	(from https://www.strong.io/)
14:06:16	30869/30869	---M--	200	added ('OK')	image/png	etag:%227895-5578bfe126129%22	https://www.strong.io/img/logo-taxbot.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/logo-taxbot.png	(from https://www.strong.io/)
14:06:17	29015/29015	---M--	200	added ('OK')	image/png	etag:%227157-5578bfe125189%22	https://www.strong.io/img/logo-bloodhub.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/logo-bloodhub.png	(from https://www.strong.io/)
14:06:17	32592/32592	---M--	200	added ('OK')	image/png	etag:%227f50-54d26f64960c9%22	https://www.strong.io/img/logo-vector.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/logo-vector.png	(from https://www.strong.io/)
14:06:18	26165/26165	---M--	200	added ('OK')	image/png	etag:%226635-5541268bc6e89%22	https://www.strong.io/img/logo-topbox.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/logo-topbox.png	(from https://www.strong.io/)
14:06:19	28393/28393	---M--	200	added ('OK')	image/png	etag:%226ee9-54d26f6497069%22	https://www.strong.io/img/testimonial-ben.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/testimonial-ben.png	(from https://www.strong.io/)
14:06:20	27208/27208	---M--	200	added ('OK')	image/png	etag:%226a48-54d26f6497069%22	https://www.strong.io/img/testimonial-lee.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/img/testimonial-lee.png	(from https://www.strong.io/)
14:06:20	21795/21795	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202019%2006:06:20%20GMT	https://www.strong.io/careers	Z:/PycharmProjects/website_copy/strong/www.strong.io/careers.html	(from https://www.strong.io/)
14:06:21	15980/15980	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Mar%202019%2006:06:21%20GMT	https://www.strong.io/fonts/glyphicons-halflings-regular.eot	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/glyphicons-halflings-regular.eot	(from https://www.strong.io/css/strong.min.css)
14:06:22	15980/15980	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Mar%202019%2006:06:22%20GMT	https://www.strong.io/fonts/glyphicons-halflings-regular.eot?	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/glyphicons-halflings-regulard41d.eot	(from https://www.strong.io/css/strong.min.css)
14:06:22	15980/15980	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Mar%202019%2006:06:23%20GMT	https://www.strong.io/fonts/glyphicons-halflings-regular.woff	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/glyphicons-halflings-regular.woff	(from https://www.strong.io/css/strong.min.css)
14:06:23	15980/15980	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Mar%202019%2006:06:23%20GMT	https://www.strong.io/fonts/glyphicons-halflings-regular.ttf	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/glyphicons-halflings-regular.ttf	(from https://www.strong.io/css/strong.min.css)
14:06:24	15980/15980	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Mar%202019%2006:06:24%20GMT	https://www.strong.io/fonts/glyphicons-halflings-regular.svg	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/glyphicons-halflings-regular.svg	(from https://www.strong.io/css/strong.min.css)
14:06:25	8672/8672	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2221e0-54ceecb8c4929%22	https://www.strong.io/fonts/stack-interface.eot?33839631	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/stack-interfacea0e2.eot	(from https://www.strong.io/css/strong.min.css)
14:06:25	4292/4292	---M--	200	added ('OK')	text/html	etag:%2210c4-54ceecb8c4929%22	https://www.strong.io/fonts/stack-interface.woff2?33839631	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/stack-interfacea0e2.html	(from https://www.strong.io/css/strong.min.css)
14:06:26	5140/5140	---MCZ	200	added ('OK')	application/font-woff	etag:W/%221414-54ceecb8c4929%22	https://www.strong.io/fonts/stack-interface.woff?33839631	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/stack-interfacea0e2.woff	(from https://www.strong.io/css/strong.min.css)
14:06:26	8476/8476	---M--	200	added ('OK')	application/x-font-ttf	etag:%22211c-54ceecb8c4929%22	https://www.strong.io/fonts/stack-interface.ttf?33839631	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/stack-interfacea0e2.ttf	(from https://www.strong.io/css/strong.min.css)
14:06:27	6179/6179	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221823-54ceecb8c4929%22	https://www.strong.io/fonts/stack-interface.svg?33839631	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/stack-interfacea0e2.svg	(from https://www.strong.io/css/strong.min.css)
14:06:29	69512/69512	---M--	200	added ('OK')	application/x-font-ttf	etag:%2210f88-55412cc9eaee9%22	https://www.strong.io/fonts/socicon.ttf?a93r5t	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/socicon21b8.ttf	(from https://www.strong.io/css/strong.min.css)
14:06:30	69588/69588	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2210fd4-55412cc9ebe89%22	https://www.strong.io/fonts/socicon.woff?a93r5t	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/socicon21b8.woff	(from https://www.strong.io/css/strong.min.css)
14:06:31	148727/148727	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22244f7-55412cc9eaee9%22	https://www.strong.io/fonts/socicon.svg?a93r5t	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/socicon21b8.svg	(from https://www.strong.io/css/strong.min.css)
14:06:32	69676/69676	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221102c-55412cc9e9f49%22	https://www.strong.io/fonts/socicon.eot?a93r5t	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/socicon21b8.eot	(from https://www.strong.io/css/strong.min.css)
14:06:33	1177484/1177484	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2211f78c-54ceecb8c3989%22	https://www.strong.io/fonts/iconsmind.woff	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/iconsmind.woff	(from https://www.strong.io/css/strong.min.css)
14:06:33	1115/1115	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.strong.io/favicon/xapple-icon-57x57.png.pagespeed.ic.VRUjB4O0KQ.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/xapple-icon-57x57.png.pagespeed.ic.VRUjB4O0KQ.png	(from https://www.strong.io/machine-learning-development)
14:06:34	1177572/1177572	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2211f7e4-54ceecb8b9d49%22	https://www.strong.io/fonts/iconsmind.eot?	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/iconsmindd41d.eot	(from https://www.strong.io/css/strong.min.css)
14:06:34	1177408/1177408	---M--	200	added ('OK')	application/x-font-ttf	etag:%2211f740-54ceecb8beb69%22	https://www.strong.io/fonts/iconsmind.ttf	Z:/PycharmProjects/website_copy/strong/www.strong.io/fonts/iconsmind.ttf	(from https://www.strong.io/css/strong.min.css)
14:06:34	1189/1189	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.strong.io/favicon/xapple-icon-60x60.png.pagespeed.ic.vJVDTOCtI6.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/xapple-icon-60x60.png.pagespeed.ic.vJVDTOCtI6.png	(from https://www.strong.io/machine-learning-development)
14:06:35	1458/1458	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.strong.io/favicon/xapple-icon-76x76.png.pagespeed.ic.MgjQkXPKC1.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/xapple-icon-76x76.png.pagespeed.ic.MgjQkXPKC1.png	(from https://www.strong.io/machine-learning-development)
14:06:36	1362/1362	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.strong.io/favicon/xapple-icon-72x72.png.pagespeed.ic.whp121EcVL.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/xapple-icon-72x72.png.pagespeed.ic.whp121EcVL.png	(from https://www.strong.io/machine-learning-development)
14:06:36	1973/1973	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.strong.io/favicon/xapple-icon-114x114.png.pagespeed.ic._QGzwKiKu-.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/xapple-icon-114x114.png.pagespeed.ic._QGzwKiKu-.png	(from https://www.strong.io/machine-learning-development)
14:06:36	2041/2041	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.strong.io/favicon/xapple-icon-120x120.png.pagespeed.ic.Hz4AnLMGIL.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/xapple-icon-120x120.png.pagespeed.ic.Hz4AnLMGIL.png	(from https://www.strong.io/machine-learning-development)
14:06:37	3617/3617	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.strong.io/favicon/xapple-icon-144x144.png.pagespeed.ic.bHG2b7g3rz.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/xapple-icon-144x144.png.pagespeed.ic.bHG2b7g3rz.png	(from https://www.strong.io/machine-learning-development)
14:06:37	3976/3976	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.strong.io/favicon/xapple-icon-152x152.png.pagespeed.ic.3JJoTM0DCX.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/xapple-icon-152x152.png.pagespeed.ic.3JJoTM0DCX.png	(from https://www.strong.io/machine-learning-development)
14:06:37	5176/5176	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.strong.io/favicon/xapple-icon-180x180.png.pagespeed.ic.bAFEspbAmS.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/xapple-icon-180x180.png.pagespeed.ic.bAFEspbAmS.png	(from https://www.strong.io/machine-learning-development)
14:06:37	4762/4762	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.strong.io/favicon/xandroid-icon-192x192.png.pagespeed.ic.8sJXtxfCk2.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/xandroid-icon-192x192.png.pagespeed.ic.8sJXtxfCk2.png	(from https://www.strong.io/machine-learning-development)
